Rank 102 | Hero: Selkie | Vote count: 1566 | Series: Fates 
Rank 103 | Hero: Grima | Vote count: 1517 | Series: Awakening 
Rank 104 | Hero: Idunn | Vote count: 1505 | Series: The Binding Blade 
Rank 105 | Hero: Xane | Vote count: 1489 | Series: Mystery of the Emblem / New Mystery of the Emblem, Shadow Dragon and the Blade of Light / Shadow Dragon 
Rank 105 | Hero: Lilith | Vote count: 1489 | Series: Fates 
Rank 106 | Hero: Surtr | Vote count: 1481 | Series: Heroes 
Rank 107 | Hero: Ilyana | Vote count: 1469 | Series: Radiant Dawn, Path of Radiance 
Rank 108 | Hero: Sakura | Vote count: 1467 | Series: Fates 
Rank 109 | Hero: Nyx | Vote count: 1465 | Series: Fates 
Rank 110 | Hero: Merlinus | Vote count: 1456 | Series: The Binding Blade 
Rank 111 | Hero: Erk | Vote count: 1445 | Series: The Blazing Blade 
Rank 112 | Hero: Nemesis | Vote count: 1427 | Series: Three Houses (War Arc) 
Rank 113 | Hero: Thrasir | Vote count: 1415 | Series: Heroes 
Rank 114 | Hero: Athos | Vote count: 1409 | Series: The Blazing Blade 
Rank 114 | Hero: Sephiran | Vote count: 1409 | Series: Radiant Dawn, Path of Radiance 
Rank 115 | Hero: Delthea | Vote count: 1386 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 116 | Hero: Laevatein | Vote count: 1363 | Series: Heroes 
Rank 117 | Hero: Hinoka | Vote count: 1345 | Series: Fates 
Rank 118 | Hero: Lon'qu | Vote count: 1321 | Series: Awakening 
Rank 119 | Hero: Minerva | Vote count: 1294 | Series: Mystery of the Emblem / New Mystery of the Emblem, Shadow Dragon and the Blade of Light / Shadow Dragon 
Rank 120 | Hero: Anna | Vote count: 1292 | Series: Three Houses (Academy Arc) 
Rank 120 | Hero: Faye | Vote count: 1292 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 120 | Hero: Forrest | Vote count: 1292 | Series: Fates 
Rank 121 | Hero: Navarre | Vote count: 1289 | Series: Shadow Dragon and the Blade of Light / Shadow Dragon, Mystery of the Emblem / New Mystery of the Emblem 
Rank 122 | Hero: Hel | Vote count: 1287 | Series: Heroes 
